"","pwsid","total_violations","dist_enf","dist_vio_type","diff_days_max"
"1","010106001",2,6,1,91
"2","010502003",1,3,1,29
"3","050595310",1,4,1,409
"4","055293303",3,4,1,91
"5","055294101",13,22,3,1391
"6","055294401",21,55,3,1397
"7","055294801",42,126,1,91
"8","055295101",1,2,1,90
"9","055295505",2,1,1,30
"10","055295705",1,1,1,30
"11","061620001",1,3,1,1617
"12","061800001",1,3,1,2975
"13","061870043",1,1,1,1009
"14","062000905",1,1,1,1745
"15","062001458",1,4,1,1211
"16","062002156",5,16,2,30
"17","062004183",1,1,1,2989
"18","063003614",2,2,2,1279
"19","063006122",14,12,1,91
"20","063500006",22,34,4,3003
"21","063500007",2,14,1,2914
"22","063500008",2,14,1,2912
"23","063500108",1,3,1,2686
"24","063500110",3,5,1,91
"25","063500116",3,14,2,1832
"26","063500119",8,25,2,2546
"27","063500122",1,5,1,2486
"28","063500123",6,5,1,91
"29","063500166",2,11,1,1405
"30","063501001",3,11,2,2107
"31","063501109",1,4,1,2387
"32","063501124",4,4,1,91
"33","063501160",1,2,1,2418
"34","063502233",1,13,1,2192
"35","063503013",1,15,1,2500
"36","063503107",1,4,1,2048
"37","063503109",1,4,1,2387
"38","063503115",1,3,1,2426
"39","063503118",4,8,1,91
"40","063504107",1,4,1,2049
"41","063504118",1,4,1,2152
"42","063504119",4,8,1,91
"43","063506111",1,4,1,2545
"44","063506114",1,4,1,2106
"45","063506193",1,2,1,309
"46","063506233",2,15,1,2192
"47","063507009",1,14,1,2713
"48","063507011",2,14,1,2192
"49","063508166",1,2,1,583
"50","063509008",1,11,1,2192
"51","063568423",4,8,1,2811
"52","070000002",57,89,8,2600
"53","070000004",2,7,1,1709
"54","070000008",9,20,2,2135
"55","070000014",3,9,2,114
"56","070000017",7,18,2,3109
"57","080890002",3,3,2,1558
"58","083090001",3,6,2,1939
"59","083090003",3,7,3,2129
"60","083090004",2,3,2,1956
"61","083090005",2,1,1,1956
"62","083090007",2,3,2,1833
"63","083090008",2,4,1,2439
"64","083090009",7,4,4,2287
"65","083090011",16,9,2,3040
"66","083090012",2,2,1,1708
"67","083090014",3,6,2,1708
"68","083090016",1,1,1,2595
"69","083090023",3,2,1,91
"70","083090024",2,2,1,30
"71","083090027",5,7,2,30
"72","083090029",2,4,1,30
"73","083090032",1,3,1,29
"74","083090033",2,3,1,29
"75","083090034",1,2,1,2576
"76","083090037",1,1,1,1835
"77","083090041",53,8,2,91
"78","083090044",1,1,1,1465
"79","083090050",2,1,1,90
"80","083090053",1,1,1,2610
"81","083090061",1,1,1,797
"82","083090062",5,6,4,1421
"83","083090063",3,3,2,2389
"84","083090067",2,5,2,2557
"85","083090075",1,2,1,2179
"86","083090091",2,3,1,2969
"87","083090094",1,1,1,1497
"88","083090098",3,1,3,1129
"89","083090301",2,3,2,1834
"90","083090309",1,2,1,2051
"91","083090312",10,3,3,1489
"92","083890002",7,2,1,91
"93","083890003",11,2,1,91
"94","083890015",6,2,1,91
"95","083890017",1,1,1,91
"96","083890023",1,2,1,89
"97","083890025",4,3,1,364
"98","083890030",9,3,1,91
"99","083890036",2,2,1,1528
"100","083890037",2,2,1,1162
"101","084690020",1,3,1,2836
"102","084690029",6,3,1,91
"103","084690440",1,1,1,302
"104","084690441",1,1,1,90
"105","084690467",2,2,2,2974
"106","084690468",1,1,1,1674
"107","084690475",2,2,2,1809
"108","084690480",1,1,1,1283
"109","084690483",1,1,1,2197
"110","084690512",1,1,1,1273
"111","084690516",2,5,1,30
"112","084690521",2,3,1,2683
"113","084990002",6,10,4,2033
"114","084990003",1,3,1,2033
"115","084990006",3,7,1,3002
"116","085690002",4,6,2,1832
"117","085690004",1,1,1,2508
"118","085690008",2,3,1,2509
"119","090400030",1,1,1,90
"120","090400034",3,3,1,91
"121","090400049",1,1,1,29
"122","090400051",5,5,3,1192
"123","090400054",1,1,1,1499
"124","090400057",7,7,1,91
"125","090400060",1,1,1,30
"126","090400088",11,2,1,91
"127","090400089",5,5,3,1314
"128","090400090",1,1,1,30
"129","090400094",8,8,2,1497
"130","090400101",1,1,1,1741
"131","090400106",33,33,1,91
"132","090400107",31,33,1,91
"133","090400110",10,6,5,2197
"134","090400112",3,2,2,2562
"135","090400114",19,23,6,2166
"136","090400217",1,1,1,1343
"137","090400218",3,3,1,91
"138","090400220",1,1,1,30
"139","090400237",15,15,1,91
"140","090400259",33,32,1,91
"141","090400260",31,35,2,1680
"142","090400274",4,3,2,1312
"143","090400393",3,3,1,1764
"144","090400394",31,34,1,91
"145","090400395",7,7,3,1696
"146","090400662",10,2,2,91
"147","090400673",5,5,2,433
"148","090400675",1,1,1,1344
"149","090400676",3,6,2,1732
"150","090400678",3,3,2,1436
"151","090400679",1,1,1,573
"152","090400692",4,4,3,91
"153","090400710",1,1,1,30
"154","090402057",1,1,1,30
"155","090403010",4,8,1,91
"156","090403011",4,4,1,91
"157","090600038",1,1,1,248
"158","090600059",1,1,1,89
"159","090600119",1,1,1,89
"160","090600126",1,1,1,918
"161","090600134",7,7,4,1862
"162","090600135",4,4,2,1375
"163","090600139",5,2,2,2102
"164","090600144",5,1,1,1380
"165","090600145",8,6,4,2102
"166","090600150",5,3,1,609
"167","090600154",6,6,1,91
"168","090600156",5,5,1,91
"169","090600159",13,4,2,1388
"170","090600161",11,9,5,1862
"171","090600190",1,1,1,29
"172","090605004",108,123,7,2470
"173","090605006",6,6,2,1862
"174","090605020",4,2,1,609
"175","090605021",2,2,2,554
"176","090605045",4,4,1,432
"177","090605109",8,2,1,91
"178","090605113",6,6,2,2166
"179","090605128",1,1,1,30
"180","090605129",17,16,2,828
"181","090605130",1,1,1,90
"182","090605133",3,3,1,91
"183","090605146",4,3,1,91
"184","090605147",5,5,1,1438
"185","090605153",12,3,1,1380
"186","090605160",7,4,3,2115
"187","093200163",7,6,1,2068
"188","093200164",8,5,4,1284
"189","093200165",5,3,3,1344
"190","093200167",6,4,2,280
"191","093200171",5,4,2,280
"192","093200172",4,4,2,613
"193","093200173",1,1,1,30
"194","093200177",1,1,1,29
"195","093200360",2,2,1,952
"196","093200362",8,2,2,597
"197","093200366",4,4,3,2292
"198","093200368",6,3,2,1192
"199","093200372",2,2,2,1344
"200","093200373",1,1,1,828
"201","093200376",4,3,1,91
"202","093534003",3,3,1,30
"203","093534007",1,1,1,2531
"204","093534014",1,1,1,30
"205","093534018",2,2,1,30
"206","100211202",24,59,2,473
"207","101600005",4,4,1,1255
"208","101600015",1,1,1,2288
"209","101600016",10,16,1,1379
"210","101611105",1,1,1,29
"211","101612108",24,43,1,2323
"212","101612113",7,16,1,1255
"213","104100002",1,4,1,1980
"214","104101100",2,6,1,1954
"215","104101132",1,2,1,1832
"216","104101133",8,16,1,2093
"217","104101247",29,12,4,1602
"218","104121114",1,3,1,29
"219","105300008",3,1,1,1346
"220","105300010",1,2,1,1360
"221","105300011",2,2,2,2408
"222","105300012",6,6,2,91
"223","105300017",5,5,1,1890
"224","105300024",2,1,1,91
"225","105300025",1,4,1,415
"226","105300026",7,13,1,727
"227","105300028",9,17,2,3082
"228","105300047",3,1,1,1346
"229","105300058",4,3,3,2044
"230","105300073",2,2,1,1265
"231","105300084",2,4,1,452
"232","105300086",3,5,3,2814
"233","105300088",3,4,2,3082
"234","105300092",2,2,2,1679
"235","105300115",1,3,1,1648
"236","105300116",2,2,1,30
"237","105300119",1,2,1,2157
"238","105300120",7,13,2,552
"239","105300123",1,2,1,2456
"240","105300127",4,9,1,2872
"241","105300130",1,1,1,2408
"242","105300133",2,2,2,827
"243","105300134",2,3,1,1664
"244","105300141",7,8,5,2555
"245","105300146",4,7,1,2053
"246","105300147",4,8,1,537
"247","105300156",1,3,1,2010
"248","105311103",6,4,2,1862
"249","105338100",10,6,3,2044
"250","105338102",1,1,1,91
"251","105338112",2,2,2,1979
"252","105338113",5,5,3,1979
"253","105338121",5,4,2,1979
"254","105338122",5,7,3,1979
"255","AK2110106",3,4,3,2623
"256","AK2110110",2,2,1,2609
"257","AK2110449",2,3,1,1558
"258","AK2110520",5,8,2,2592
"259","AK2110562",4,2,2,30
"260","AK2110601",6,5,2,2592
"261","AK2110643",1,1,1,28
"262","AK2110855",13,4,2,30
"263","AK2111465",1,1,1,2623
"264","AK2111472",1,1,1,2623
"265","AK2111513",3,4,1,2623
"266","AK2111526",3,4,1,2623
"267","AK2111544",2,2,2,2500
"268","AK2111555",3,3,2,2639
"269","AK2111566",2,4,2,29
"270","AK2119205",4,5,1,91
"271","AK2120012",29,8,3,91
"272","AK2120020",19,10,3,2592
"273","AK2120127",2,2,1,29
"274","AK2120135",2,2,1,30
"275","AK2120143",9,2,1,91
"276","AK2120169",28,24,2,91
"277","AK2120193",10,6,4,91
"278","AK2120216",38,5,1,91
"279","AK2120224",54,33,6,1682
"280","AK2120232",5,3,1,91
"281","AK2120436",13,16,2,91
"282","AK2120541",29,12,6,91
"283","AK2120567",1,1,1,2583
"284","AK2120606",21,9,2,91
"285","AK2121034",3,3,2,2592
"286","AK2121076",3,5,1,91
"287","AK2121093",1,1,1,2592
"288","AK2121123",4,13,2,610
"289","AK2121463",12,8,4,2623
"290","AK2121467",2,2,2,2609
"291","AK2121474",7,5,2,2623
"292","AK2121501",2,2,1,1528
"293","AK2121510",6,7,3,91
"294","AK2121522",25,3,4,1383
"295","AK2130017",32,8,3,91
"296","AK2130075",4,4,1,30
"297","AK2130083",34,17,3,91
"298","AK2130156",8,10,1,91
"299","AK2130164",4,4,1,2291
"300","AK2130172",9,12,2,2847
"301","AK2130198",1,1,1,30
"302","AK2130237",2,2,1,2148
"303","AK2130423",5,5,3,2653
"304","AK2133333",2,2,1,2591
"305","AK2210320",9,14,1,91
"306","AK2210396",2,2,2,1216
"307","AK2210401",2,2,2,2105
"308","AK2210451",5,2,1,1069
"309","AK2210574",1,2,1,1120
"310","AK2210605",1,2,1,757
"311","AK2210794",5,5,2,2282
"312","AK2211059",1,1,1,1547
"313","AK2211091",2,2,2,1225
"314","AK2211114",3,2,1,1211
"315","AK2211130",2,2,1,1588
"316","AK2211473",1,1,1,1283
"317","AK2211677",2,4,1,91
"318","AK2211708",1,1,1,1678
"319","AK2211897",4,3,1,1439
"320","AK2212518",2,2,1,794
"321","AK2212924",2,2,1,1547
"322","AK2212974",2,2,1,2842
"323","AK2213140",2,2,1,1161
"324","AK2213239",1,1,1,2013
"325","AK2213409",3,3,1,1216
"326","AK2214340",2,2,1,2323
"327","AK2215362",1,1,1,2243
"328","AK2215370",1,1,1,2243
"329","AK2216198",1,1,1,1211
"330","AK2216407",1,1,1,2622
"331","AK2216512",1,2,1,171
"332","AK2217233",1,1,1,2226
"333","AK2218593",2,2,1,1273
"334","AK2218642",1,1,1,1224
"335","AK2218653",2,1,1,908
"336","AK2218709",1,1,1,1824
"337","AK2218739",1,1,1,1621
"338","AK2218819",1,1,1,994
"339","AK2220026",1,1,1,1740
"340","AK2220033",1,2,1,1310
"341","AK2220037",13,4,2,2372
"342","AK2220085",1,1,1,1101
"343","AK2220094",1,1,1,364
"344","AK2220096",3,4,1,2573
"345","AK2220101",3,4,1,91
"346","AK2220146",1,1,1,30
"347","AK2220154",13,14,2,91
"348","AK2220160",2,2,2,2083
"349","AK2220169",1,1,1,2341
"350","AK2220183",3,3,1,1584
"351","AK2220185",2,3,1,1827
"352","AK2220215",3,2,1,2556
"353","AK2220251",5,4,1,2486
"354","AK2220304",1,2,1,827
"355","AK2220310",4,6,1,2920
"356","AK2220353",1,1,1,2248
"357","AK2220407",3,4,1,2994
"358","AK2220424",3,4,1,30
"359","AK2220429",3,6,2,1617
"360","AK2220439",1,1,1,167
"361","AK2220465",1,1,1,2503
"362","AK2220466",1,1,1,875
"363","AK2220472",3,1,2,1101
"364","AK2220473",9,2,1,91
"365","AK2220723",4,4,1,2278
"366","AK2221680",1,1,1,696
"367","AK2221834",1,3,1,2014
"368","AK2222084",3,6,2,2951
"369","AK2222343",1,2,1,2605
"370","AK2222783",3,1,1,1673
"371","AK2222806",1,1,1,2433
"372","AK2222848",1,1,1,1806
"373","AK2222995",1,2,1,1774
"374","AK2223145",5,11,2,1441
"375","AK2223315",13,8,2,2953
"376","AK2223593",3,1,1,2425
"377","AK2223616",4,4,1,2255
"378","AK2223624",24,2,1,91
"379","AK2223721",2,1,1,2451
"380","AK2223933",1,1,1,2622
"381","AK2223959",1,1,1,90
"382","AK2224078",5,4,1,2470
"383","AK2224109",2,1,1,2366
"384","AK2224159",1,1,1,1085
"385","AK2224183",4,1,1,2434
"386","AK2224272",2,2,1,1959
"387","AK2224337",3,3,1,91
"388","AK2224476",14,9,2,2496
"389","AK2224515",1,2,1,3051
"390","AK2224604",4,1,1,1952
"391","AK2224769",3,6,2,2255
"392","AK2224806",2,2,1,2334
"393","AK2224882",2,2,1,2255
"394","AK2224955",1,2,1,2238
"395","AK2225058",1,2,1,1210
"396","AK2225165",4,4,1,1942
"397","AK2225241",1,2,1,560
"398","AK2225261",1,1,1,1271
"399","AK2225313",2,1,1,2450
"400","AK2225398",2,3,1,2939
"401","AK2225572",1,3,1,2373
"402","AK2225653",1,2,1,3085
"403","AK2225697",4,9,1,2497
"404","AK2225728",1,1,1,972
"405","AK2225753",3,5,1,1676
"406","AK2225773",1,1,1,2714
"407","AK2225794",2,4,1,2507
"408","AK2225967",2,2,1,2278
"409","AK2225968",2,2,1,2393
"410","AK2226021",2,4,1,2785
"411","AK2226027",3,4,1,2499
"412","AK2226043",1,1,1,2444
"413","AK2226049",8,4,1,91
"414","AK2226452",3,3,1,1938
"415","AK2226509",1,1,1,1018
"416","AK2226525",3,1,1,2438
"417","AK2226533",3,8,1,2509
"418","AK2226567",4,5,1,2946
"419","AK2227092",3,5,1,2393
"420","AK2227199",4,5,1,2765
"421","AK2227254",1,2,1,2416
"422","AK2227327",2,2,1,1966
"423","AK2227424",3,3,1,2842
"424","AK2227440",1,1,1,91
"425","AK2240202",1,1,1,2238
"426","AK2240210",1,1,1,2238
"427","AK2240228",1,1,1,2238
"428","AK2240236",1,1,1,2238
"429","AK2240317",1,1,1,2238
"430","AK2240333",1,1,1,2238
"431","AK2240367",1,1,1,2238
"432","AK2240375",1,1,1,2238
"433","AK2240383",1,1,1,2238
"434","AK2240422",2,2,2,2238
"435","AK2240430",1,1,1,2238
"436","AK2240464",10,6,4,30
"437","AK2240498",5,3,1,30
"438","AK2240529",1,2,1,2994
"439","AK2240773",5,3,1,2791
"440","AK2240781",3,3,1,30
"441","AK2240854",4,4,1,2623
"442","AK2240901",3,4,2,2653
"443","AK2240969",5,1,1,91
"444","AK2241012",30,17,2,2980
"445","AK2241062",1,1,1,2769
"446","AK2241313",2,3,1,2728
"447","AK2241347",1,1,1,2147
"448","AK2241410",2,2,1,1848
"449","AK2241444",2,2,1,2592
"450","AK2241648",1,1,1,30
"451","AK2241703",7,7,2,2623
"452","AK2242084",1,1,1,2639
"453","AK2242246",1,1,1,2238
"454","AK2242270",2,2,1,2238
"455","AK2242343",3,5,1,2730
"456","AK2242424",2,2,2,1862
"457","AK2242482",1,2,1,2744
"458","AK2242856",5,7,2,2916
"459","AK2243030",5,10,2,2592
"460","AK2243080",1,1,1,2323
"461","AK2243137",2,2,2,2419
"462","AK2243161",4,4,2,2248
"463","AK2243446",4,5,2,2916
"464","AK2243658",26,24,2,91
"465","AK2244222",3,3,2,2425
"466","AK2244256",4,2,1,2958
"467","AK2244272",1,2,1,2820
"468","AK2244298",3,2,1,2592
"469","AK2244395",9,4,2,91
"470","AK2244719",4,3,1,2322
"471","AK2244808",4,5,1,2244
"472","AK2244824",3,3,1,3077
"473","AK2244955",2,2,1,1316
"474","AK2244963",4,4,1,2157
"475","AK2244997",2,3,1,2724
"476","AK2245082",1,1,1,1128
"477","AK2245804",1,1,1,2769
"478","AK2245977",2,5,1,2951
"479","AK2247474",4,7,1,2882
"480","AK2247490",1,1,1,1318
"481","AK2247953",1,1,1,2071
"482","AK2248226",3,4,2,2916
"483","AK2248420",2,8,2,89
"484","AK2248470",1,2,1,2513
"485","AK2248836",1,1,1,1400
"486","AK2248925",1,1,1,2623
"487","AK2249021",2,2,1,30
"488","AK2249062",2,2,1,2238
"489","AK2249063",1,1,1,2238
"490","AK2249065",1,1,1,2238
"491","AK2249067",1,1,1,1953
"492","AK2249077",1,2,1,89
"493","AK2249079",1,1,1,2702
"494","AK2249130",1,1,1,2238
"495","AK2249131",1,1,1,89
"496","AK2249137",6,4,2,30
"497","AK2249142",1,1,1,2766
"498","AK2249145",1,2,1,1648
"499","AK2249226",1,1,1,1147
"500","AK2249256",4,3,1,2653
"501","AK2249303",1,2,1,2623
"502","AK2249882",1,3,1,2464
"503","AK2249966",1,2,1,1832
"504","AK2249977",6,8,2,2623
"505","AK2249978",1,2,1,2609
"506","AK2249988",1,1,1,89
"507","AK2249994",6,5,3,2623
"508","AK2250037",2,2,1,30
"509","AK2250045",6,6,2,1772
"510","AK2250061",2,2,1,30
"511","AK2250126",9,4,2,1785
"512","AK2250315",2,1,1,30
"513","AK2250396",4,3,2,1938
"514","AK2250427",3,3,3,521
"515","AK2250582",1,1,1,1785
"516","AK2260032",8,12,1,1280
"517","AK2260058",6,2,1,30
"518","AK2260066",3,3,1,554
"519","AK2260090",4,6,1,1272
"520","AK2260139",5,2,1,1253
"521","AK2260163",4,7,1,1224
"522","AK2260197",1,1,1,1274
"523","AK2260202",2,2,2,2411
"524","AK2260228",17,6,1,30
"525","AK2260260",23,7,3,30
"526","AK2260286",6,1,1,1786
"527","AK2260294",4,3,2,1874
"528","AK2260359",2,2,1,29
"529","AK2260367",3,3,1,1777
"530","AK2260511",5,4,2,91
"531","AK2260595",2,1,1,30
"532","AK2260634",1,1,1,1636
"533","AK2260676",3,1,1,91
"534","AK2261096",3,4,1,2335
"535","AK2261143",4,2,2,1554
"536","AK2261193",5,4,2,1546
"537","AK2261216",17,12,4,1873
"538","AK2261240",1,1,1,1139
"539","AK2261274",3,2,1,2641
"540","AK2261444",3,3,2,2136
"541","AK2261478",5,2,1,30
"542","AK2261591",3,2,1,2652
"543","AK2261606",2,3,1,1482
"544","AK2261630",2,2,2,1653
"545","AK2261648",1,1,1,29
"546","AK2262282",1,1,1,1482
"547","AK2262319",3,3,1,1176
"548","AK2262351",59,19,3,91
"549","AK2262505",1,1,1,29
"550","AK2262571",5,5,1,1307
"551","AK2262660",2,1,1,91
"552","AK2262902",2,2,1,1218
"553","AK2263006",13,5,1,30
"554","AK2263045",4,5,1,1854
"555","AK2263069",1,1,1,1148
"556","AK2263070",1,1,1,2591
"557","AK2263080",5,8,1,91
"558","AK2270150",1,1,1,30
"559","AK2270168",1,1,1,1964
"560","AK2270176",4,2,2,30
"561","AK2270184",11,7,3,892
"562","AK2270223",2,3,1,1995
"563","AK2270299",18,16,3,1303
"564","AK2270346",4,1,1,1648
"565","AK2270362",4,5,3,787
"566","AK2270401",3,2,1,1299
"567","AK2270427",1,1,1,30
"568","AK2270613",4,4,1,30
"569","AK2270697",2,3,2,2145
"570","AK2270728",1,2,1,89
"571","AK2270736",2,2,1,30
"572","AK2270972",10,10,2,1212
"573","AK2270980",3,1,1,1254
"574","AK2271025",25,10,2,30
"575","AK2271033",5,6,2,1674
"576","AK2271041",5,2,1,30
"577","AK2271148",3,4,2,2319
"578","AK2271211",7,4,4,1832
"579","AK2271245",2,2,1,30
"580","AK2271431",16,16,4,91
"581","AK2271700",2,1,1,30
"582","AK2271721",11,4,2,1250
"583","AK2271732",4,4,2,1288
"584","AK2271874",35,14,4,2836
"585","AK2271999",8,8,2,1274
"586","AK2272003",2,3,2,1892
"587","AK2272004",5,4,2,91
"588","AK2272007",9,5,2,440
"589","AK2272017",37,12,4,91
"590","AK2272751",4,2,1,1295
"591","AK2280040",7,7,2,2391
"592","AK2280066",23,9,2,30
"593","AK2280155",18,21,2,91
"594","AK2280302",4,3,1,1230
"595","AK2291130",47,41,8,2472
"596","AK2291300",6,9,1,2518
"597","AK2291342",1,2,1,2518
"598","AK2291499",3,3,1,2483
"599","AK2291813",2,1,1,1763
"600","AK2291952",22,35,5,2464
"601","AK2292291",1,1,1,2470
"602","AK2292705",3,6,1,2344
"603","AK2293164",1,1,1,30
"604","AK2298002",1,1,1,1832
"605","AK2298608",13,29,1,2273
"606","AK2299032",1,2,1,2390
"607","AK2300159",8,4,1,30
"608","AK2300183",20,19,1,91
"609","AK2300206",4,2,1,30
"610","AK2300222",9,8,2,30
"611","AK2300272",4,4,1,30
"612","AK2300769",8,7,2,2288
"613","AK2310146",1,1,1,1095
"614","AK2310374",3,3,1,3053
"615","AK2310683",13,23,2,91
"616","AK2310837",1,3,1,659
"617","AK2310879",3,6,1,2753
"618","AK2310895",2,1,1,2531
"619","AK2310926",1,3,1,883
"620","AK2313827",2,5,2,2533
"621","AK2315382",1,1,1,786
"622","AK2315400",6,18,3,364
"623","AK2320426",8,10,1,91
"624","AK2330052",1,1,1,1647
"625","AK2330076",1,1,1,90
"626","AK2330106",1,1,1,917
"627","AK2330110",1,1,1,30
"628","AK2340060",49,69,1,91
"629","AK2340109",2,2,1,30
"630","AK2340117",47,35,1,30
"631","AK2340125",29,27,4,91
"632","AK2340141",29,24,3,365
"633","AK2340167",9,14,2,30
"634","AK2340183",2,3,1,90
"635","AK2340191",10,3,2,365
"636","AK2340214",4,4,3,89
"637","AK2340222",41,46,4,91
"638","AK2340230",2,2,1,2392
"639","AK2340248",20,26,2,91
"640","AK2340337",1,1,1,29
"641","AK2340345",4,5,2,30
"642","AK2340361",4,3,1,30
"643","AK2340379",18,22,3,30
"644","AK2340387",50,17,4,2226
"645","AK2340442",11,23,1,91
"646","AK2340484",29,33,2,91
"647","AK2340507",3,4,1,2531
"648","AK2340565",28,22,2,2685
"649","AK2340751",7,2,2,30
"650","AK2350146",1,1,1,30
"651","AK2350235",1,1,1,30
"652","AK2360109",3,1,1,30
"653","AK2360141",3,3,2,30
"654","AK2360214",9,9,4,3109
"655","AK2360272",45,50,2,91
"656","AK2360785",1,4,1,2197
"657","AK2360866",5,7,1,2752
"658","AK2370471",3,3,1,2114
"659","AK2372198",2,4,1,3097
"660","AK2372245",1,1,1,30
"661","AK2372897",2,3,1,2134
"662","AK2380214",12,23,2,91
"663","AK2380387",2,1,1,2227
"664","AK2380638",8,6,1,3074
"665","AK2380997",1,2,1,2927
"666","AK2381016",7,4,1,896
"667","AK2390269",1,3,1,1266
"668","AK2390358",2,3,1,2562
"669","AK2390586",1,1,1,496
"670","AK2390594",1,1,1,30
"671","AK2391249",1,1,1,30
"672","AK2391728",2,4,1,2319
"673","AK2391736",2,2,1,2878
"674","AK2391891",1,1,1,30
"675","AK2391956",5,8,1,2319
"676","AK2392114",1,1,1,30
"677","AL0000049",1,4,1,227
"678","AL0000076",1,4,1,2180
"679","AL0000123",1,4,1,369
"680","AL0000178",2,8,1,91
"681","AL0000233",3,11,1,91
"682","AL0000252",1,4,1,251
"683","AL0000262",4,12,1,91
"684","AL0000268",3,11,1,91
"685","AL0000272",1,3,1,30
"686","AL0000318",1,4,1,328
"687","AL0000359",1,5,1,871
"688","AL0000397",1,4,1,90
"689","AL0000546",1,1,1,3076
"690","AL0000551",1,4,1,89
"691","AL0000555",1,4,1,90
"692","AL0000570",1,4,1,260
"693","AL0000582",1,4,1,30
"694","AL0000598",7,26,1,91
"695","AL0000771",1,4,1,91
"696","AL0000773",4,12,1,91
"697","AL0000828",1,4,1,91
"698","AL0000833",1,4,1,89
"699","AL0000865",5,19,1,91
"700","AL0000867",2,8,1,91
"701","AL0000870",8,22,1,91
"702","AL0000899",4,11,2,91
"703","AL0000918",3,7,1,91
"704","AL0000930",3,9,1,91
"705","AL0000951",1,4,1,363
"706","AL0001015",1,4,1,30
"707","AL0001046",1,4,1,90
"708","AL0001132",2,3,2,2958
"709","AL0001273",1,4,1,418
"710","AL0001313",1,4,1,89
"711","AL0001362",1,4,1,89
"712","AL0001371",3,12,1,91
"713","AL0001410",7,15,1,91
"714","AL0001412",2,7,1,90
"715","AL0001490",4,7,1,91
"716","AL0001507",4,14,1,91
"717","AL0001513",4,12,1,91
"718","AL0001702",1,4,1,325
"719","AL0001716",2,5,1,91
"720","AL0001764",12,35,1,91
"721","AL0001771",5,16,1,91
"722","AL0001790",1,4,1,91
"723","AL0001796",10,26,1,91
"724","AL0001811",2,4,1,30
"725","AR0000001",1,3,1,29
"726","AR0000003",1,3,1,30
"727","AR0000007",1,4,1,29
"728","AR0000010",18,17,1,1009
"729","AR0000012",1,4,1,29
"730","AR0000014",9,17,2,91
"731","AR0000016",4,6,1,91
"732","AR0000018",3,6,1,91
"733","AR0000019",4,13,2,2074
"734","AR0000020",6,15,2,91
"735","AR0000021",9,22,1,91
"736","AR0000031",1,3,1,29
"737","AR0000033",1,3,1,29
"738","AR0000037",1,4,1,90
"739","AR0000039",2,5,1,91
"740","AR0000040",12,21,2,91
"741","AR0000043",13,20,2,2044
"742","AR0000048",4,12,1,91
"743","AR0000049",3,11,1,90
"744","AR0000056",1,3,1,30
"745","AR0000061",10,14,1,1375
"746","AR0000067",2,6,1,30
"747","AR0000068",2,7,1,2288
"748","AR0000074",1,2,1,29
"749","AR0000077",1,3,1,29
"750","AR0000080",6,17,1,91
"751","AR0000086",10,21,1,2531
"752","AR0000088",2,5,1,30
"753","AR0000089",5,13,1,2531
"754","AR0000096",3,7,1,91
"755","AR0000097",12,21,2,2836
"756","AR0000109",8,19,2,91
"757","AR0000116",2,6,1,30
"758","AR0000119",1,3,1,29
"759","AR0000135",8,8,1,91
"760","AR0000136",4,9,1,91
"761","AR0000140",5,13,1,91
"762","AR0000143",5,13,1,91
"763","AR0000150",2,5,2,1528
"764","AR0000156",1,3,1,30
"765","AR0000159",1,3,1,2409
"766","AR0000160",2,7,1,30
"767","AR0000166",6,14,1,2897
"768","AR0000167",1,7,1,29
"769","AR0000172",22,11,1,2074
"770","AR0000178",56,34,3,2592
"771","AR0000190",5,8,1,91
"772","AR0000195",1,6,1,29
"773","AR0000202",1,2,1,2410
"774","AR0000218",1,5,1,2470
"775","AR0000230",9,18,1,91
"776","AR0000231",3,9,1,2044
"777","AR0000234",3,11,1,2684
"778","AR0000239",5,17,1,91
"779","AR0000241",1,7,1,90
"780","AR0000243",1,6,1,29
"781","AR0000259",2,5,2,3050
"782","AR0000263",2,4,1,1497
"783","AR0000265",13,26,1,2347
"784","AR0000271",1,3,1,29
"785","AR0000282",3,10,1,30
"786","AR0000283",1,8,1,28
"787","AR0000289",1,3,1,30
"788","AR0000290",1,5,1,2105
"789","AR0000294",1,5,1,89
"790","AR0000298",5,17,2,91
"791","AR0000301",3,14,2,90
"792","AR0000307",1,3,1,29
"793","AR0000309",1,6,1,91
"794","AR0000313",40,36,2,1467
"795","AR0000314",31,37,1,91
"796","AR0000318",2,6,1,30
"797","AR0000323",2,6,1,91
"798","AR0000327",2,4,1,30
"799","AR0000328",4,14,2,91
"800","AR0000329",2,6,1,91
"801","AR0000334",2,6,1,30
"802","AR0000337",8,6,1,1252
"803","AR0000340",5,14,1,2989
"804","AR0000344",4,9,1,1679
"805","AR0000354",1,5,1,1801
"806","AR0000358",15,29,1,2866
"807","AR0000360",3,7,1,91
"808","AR0000366",1,4,1,29
"809","AR0000377",11,14,1,1832
"810","AR0000379",10,12,1,1832
"811","AR0000384",2,8,1,90
"812","AR0000385",3,9,1,1893
"813","AR0000388",1,3,1,948
"814","AR0000391",2,6,1,3109
"815","AR0000392",28,36,1,91
"816","AR0000402",3,8,1,91
"817","AR0000403",2,5,1,30
"818","AR0000414",2,7,1,3109
"819","AR0000416",1,4,1,29
"820","AR0000420",1,3,1,30
"821","AR0000421",3,7,2,1923
"822","AR0000422",1,2,1,30
"823","AR0000425",1,2,1,29
"824","AR0000428",1,3,1,29
